depth,source,variant,cycles_per_op,branch_misses_per_op,cache_misses_per_op,counters
10,LOBSTER,A,20.645,0.39264,0.00732,ok
10,LOBSTER,B,25.636,0.42419,0.00814,ok
10,LOBSTER,C,22.601,0.20437,0.00956,ok
10,LOBSTER,D,13.750,0.00024,0.01231,ok
100,LOBSTER,A,72.544,0.72032,0.00354,ok
100,LOBSTER,B,50.353,1.00727,0.00394,ok
100,LOBSTER,C,42.906,0.30073,0.01230,ok
100,LOBSTER,D,21.790,0.00013,0.00590,ok
1000,SYNTHETIC,A,117.075,0.73416,0.02399,ok
1000,SYNTHETIC,B,50.550,1.01148,0.01877,ok
1000,SYNTHETIC,C,44.041,0.01138,0.00584,ok
1000,SYNTHETIC,D,31.050,0.00071,0.00891,ok
10000,SYNTHETIC,A,177.669,0.72960,0.04310,ok
10000,SYNTHETIC,B,50.940,1.00968,0.01947,ok
10000,SYNTHETIC,C,86.475,0.30285,0.00606,ok
10000,SYNTHETIC,D,44.420,0.00036,0.02050,ok
100000,SYNTHETIC,A,240.487,0.71889,0.06414,ok
100000,SYNTHETIC,B,50.993,1.00847,0.06577,ok
100000,SYNTHETIC,C,113.452,0.32143,0.01523,ok
100000,SYNTHETIC,D,55.410,0.00126,0.00949,ok
